keywords,answer_en,answer_hi,answer_ta
"paddy pest,brown planthopper",🌾 Brown planthopper sucks sap from rice plants; maintain water level and use resistant varieties.,🌾 भूरे प्लांटहॉपर धान का रस चूसते हैं; जलस्तर बनाए रखें और रोग-प्रतिरोधी किस्में लगाएँ।,🌾 பழுப்பு தாவர பூச்சி நெல் சாற்றை உறிஞ்சும்; நீர் நிலையை பராமரித்து எதிர்ப்பு வகைகள் பயிரிடவும்.
"tomato disease,early blight",🍅 Tomato blight causes leaf yellowing and black spots; spray mancozeb every 15 days.,🍅 टमाटर झुलसा में पत्तियाँ पीली होकर काली पड़ती हैं; हर 15 दिन में मैनकोजेब छिड़कें।,🍅 தக்காளி வாடை நோயால் இலைகள் மஞ்சள் நிறமாகி கருப்பு புள்ளிகள் தோன்றும்; 15 நாட்களுக்கு ஒருமுறை மேன்கோசேப் தெளிக்கவும்.
"rice disease,leaf blight",🌾 Rice bacterial blight can be controlled by using resistant varieties and seed treatment with streptocycline.,🌾 धान की झुलसा से बचने के लिए रोग प्रतिरोधी किस्में और बीज उपचार करें।,🌾 நெல் இலை வாடை நோயைத் தவிர்க்க நோய் எதிர்ப்பு வகைகள் மற்றும் விதை சிகிச்சை செய்யவும்.
"brinjal disease,wilt",🍆 Brinjal wilt is soil-borne; remove infected plants and drench soil with copper fungicide.,🍆 बैंगन में विल्ट रोग मिट्टी से फैलता है; संक्रमित पौधे हटाएँ और कॉपर फफूंदनाशक डालें।,🍆 கத்தரிக்காய் வாடை நோய் மண்ணில் இருந்து பரவும்; பாதிக்கப்பட்ட செடிகளை அகற்றி காப்பர் பூஞ்சைநாசினி ஊற்றவும்.
"banana disease,leaf spot",🍌 Banana leaf spot is common; apply carbendazim around roots and improve drainage.,🍌 केले की पत्ती पर धब्बे पड़ना आम है; कार्बेन्डाजिम जड़ों के पास डालें और जल निकासी सुधारें।,🍌 வாழை இலை புள்ளி நோய் பொதுவாக உள்ளது; வேர் அருகில் கார்பென்டாஸிம் ஊற்றி நீர் வடிகால் மேம்படுத்தவும்.
"mango disease,anthracnose",🥭 Mango anthracnose damages flowers and fruits; spray copper oxychloride before flowering.,🥭 आम में एन्थ्राक्नोज़ फूल और फलों को नुकसान पहुँचाता है; फूल आने से पहले कॉपर ऑक्सी क्लोराइड छिड़कें।,🥭 மாம்பழ ஆன்த்ராக்னோஸ் மலர் மற்றும் பழங்களை பாதிக்கும்; மலர்வதற்கு முன் காப்பர் ஆக்ஸிகுளோரைடு தெளிக்கவும்.
"chilli disease,leaf curl",🌶️ Chilli leaf curl causes twisted leaves; remove infected plants and spray imidacloprid.,🌶️ मिर्च पत्ती मुड़ने से पत्तियाँ सिकुड़ जाती हैं; संक्रमित पौधे हटाएँ और इमिडाक्लोप्रिड छिड़कें।,🌶️ மிளகாய் இலை சுருட்டல் நோயால் இலைகள் சுருங்கும்; பாதிக்கப்பட்ட செடிகளை அகற்றி இமிடாக்ளோப்ரிட் தெளிக்கவும்.
"coconut disease,bud rot",🥥 Coconut bud rot is severe; cut affected part and apply Bordeaux paste (1%).,🥥 नारियल में बड रॉट गंभीर होता है; संक्रमित भाग काटें और 1% बोर्डो पेस्ट लगाएँ।,🥥 தென்னை மொட்டு அழுகல் கடுமையாகும்; பாதிக்கப்பட்ட பகுதியை அகற்றி 1% போர்டோ விழுது பூசவும்.
"papaya disease,powdery mildew",🍃 Papaya gets powdery mildew; spray 0.2% sulphur or neem oil regularly.,🍃 पपीते में पाउडरी मिल्ड्यू लगती है; 0.2% सल्फर या नीम तेल नियमित छिड़कें।,🍃 பப்பாளி பவுடரி மில்டியூ நோயால் பாதிக்கப்படும்; 0.2% கந்தகம் அல்லது வேப்பெண்ணெய் தெளிக்கவும்.
"organic pest control,neem,trichoderma","🌿 Use neem oil, cow urine, or trichoderma for organic pest and disease control — safe and eco-friendly!","🌿 नीम तेल, गौमूत्र या ट्राइकोडर्मा का उपयोग करें — यह जैविक और सुरक्षित तरीका है।","🌿 வேப்பெண்ணெய், கோமூத்திரம் அல்லது ட்ரைக்கோடெர்மா பயன்படுத்தி இயற்கை நோய் மற்றும் பூச்சி கட்டுப்பாடு செய்யலாம்."
"tree care,watering,fertilizer",🌴 Trees need deep watering once a week and organic compost around roots.,🌴 पेड़ों को सप्ताह में एक बार गहराई से सिंचाई और जड़ों के पास जैविक खाद चाहिए।,🌴 மரங்களுக்கு வாரத்திற்கு ஒருமுறை ஆழமான நீர்ப்பாய்ச்சி மற்றும் வேர் அருகில் இயற்கை உரம் தேவை.
"soil health,compost",🌱 Improve soil by adding vermicompost and rotating crops every season.,🌱 मिट्टी सुधारने के लिए वर्मी कम्पोस्ट मिलाएँ और हर सीजन फसल बदलें।,🌱 மண்ணை மேம்படுத்த புழு உரம் சேர்த்து ஒவ்வொரு பருவத்திலும் பயிர் மாற்றம் செய்யவும்.
"irrigation,drip system",💧 Drip irrigation saves water and increases yield for vegetables and fruits.,💧 ड्रिप सिंचाई से पानी बचता है और फलों व सब्जियों की पैदावार बढ़ती है।,💧 சொட்டு பாசனம் நீரை சேமித்து காய்கறி மற்றும் பழ விளைச்சலை அதிகரிக்கும்.
"climate change,farming",🌤️ Use drought-tolerant varieties and mulch soil to conserve moisture.,🌤️ सूखा-रोधी किस्में लगाएँ और मिट्टी पर मल्चिंग करें ताकि नमी बनी रहे।,🌤️ வறட்சியைத் தாங்கும் வகைகள் பயிரிட்டு மண்ணை மூல்சிங் செய்து ஈரத்தைப் பாதுகாக்கவும்.
"farm safety,equipment use",🧤 Always wear gloves and mask while spraying chemicals on crops.,🧤 फसलों पर रसायन छिड़कते समय हमेशा दस्ताने और मास्क पहनें।,🧤 பயிர்களில் இரசாயனங்கள் தெளிக்கும்போது கையுறைகள் மற்றும் முகக்கவசம் அணியவும்.
