keywords,answer_en,answer_ta,answer_hi,answer_te,answer_ml
"potato pests,potato late blight,potato disease control","Late blight serious; use certified seed and early fungicide.",பூஞ்சை நோய் ஆரம்பத்தில் கட்டுப்படுத்து.,लेट ब्लाइट गंभीर रोग है।,లేట్ బ్లైట్ ప్రమాదకరం.,ലേറ്റ് ബ്ലൈറ്റ് ഗൗരവം കൂടിയത്.
"onion planting,when to plant onion,onion sowing season",Onion prefers cool season; transplant or direct seed depending on variety.,வெங்காயம் குளிர் காலத்தில்.,प्याज़ ठंड में अच्छा होता है।,ఉల్లిపాయ చల్లటి కాలంలో.,സവാള തണുത്ത കാലത്ത്.
"onion pests,onion thrips,onion disease","Onion thrips and fungal rots major issues.",வெங்காய த்ரிப்ஸ்.,प्याज़ में थ्रिप्स समस्या।,ఉల్లిపాయ త్రిప్స్ సమస్య.,സവാള ത്രിപ്സ് പ്രശ്നം.
"chilli planting,when to plant chili,chili sowing time",Sow chilli in warm season; transplant after 6–8 weeks.,மிளகாய் வெப்பத்தில்.,मिर्च गर्म मौसम में बोएँ.,మిరపకాయ వేడి సమయంలో.,മുളക് ചൂടുകാലത്ത്.
"chilli pests,chili disease management,chilli viral disease","Chilli suffers from viral and thrips; remove infected plants.",வைரஸ் பாதிப்பு.,वायरस और थ्रिप्स समस्या।,వైరస్, త్రిప్స్ సమస్య.,വൈറസ്, ത്രിപ്സ് ബാധ.
"mango flowering,mango flowering season,when does mango flower",Mango flowers late winter to early spring; manage irrigation.,மாம்பழம் குளிர்கால முடிவில்.,आम देर सर्दी में फूलता है।,మామిడి శీతాకాలాంతంలో.,മാവ് ശീതകാലാവസാനത്തിൽ.
"mango pests,mango anthracnose,mango fruit fly","Fruit fly and anthracnose major; sanitation and bagging help.",மாம்பழ ஈ.,फ्रूट फ्लाई समस्या।,ఫ్రూట్ ఫ్లై సమస్య.,ഫ്രൂട്ട് ഫ്ലൈ പ്രശ്നം.
"banana planting,when to plant banana,banana propagation","Plant banana suckers 12–18 months old.",வாழை சக்கரம்.,केले के सुकर।,అరటి మొక్కలు.,വാഴ സക്കർ.
"banana pests,banana bunchy top,banana nematode","Bunchy top and nematodes reduce yield.",நெமாட் பிரச்சனை.,नीमैटोड़ समस्या।,నేమటోడ్ సమస్య.,നിമറ്റോഡ് പ്രശ്നം.
"guava care,guava pruning,guava pests",Guava requires pruning and fruit fly control.,கோவா வெட்டுதல்.,अमरूद में छंटाई।,జామ చెట్టు క్రమంగా కత్తిరించాలి.,പെയർ വെട്ടിച്ചെടുക്കുക.
"papaya planting,papaya care,papaya disease",Papaya needs drainage and disease-free seedlings.,பப்பாளி பராமரிப்பு.,पपीता अच्छी निकासी चाहता है।,బొప్పాయి మంచి నీరు పారే మట్టిలో.,പപ്പായക്ക് നല്ല ജലചാലകം ആവശ്യം.
"pomegranate care,pomegranate irrigation,pomegranate pests",Pomegranate thrives in semi-arid climate.,மாதுளை நல்ல வளர்ச்சி.,अनार अर्ध-शुष्क क्षेत्रों में।,దానిమ్మ ఎండజిల్లాల్లో.,മാതളനാരങ്ങ വരണ്ട പ്രദേശങ്ങളിൽ.
"coconut care,coconut irrigation,coconut nutrition",Coconut needs deep watering and potassium.,தேங்காய் நீர்.,नारियल को पोटाश चाहिए।,కొబ్బరి చెట్టుకు లోతైన నీరు.,തേങ്ങയ്ക്ക് ആഴത്തിലുള്ള ജലസേചനം.
"okra care,okra planting,okra pests","Okra requires warm soil and frequent harvest.",வெண்டை பராமரிப்பு.,भिंडी देखभाल।,బెండకాయ సంరక్షణ.,വെണ്ട പരിപാലനം.
"spinach care,spinach planting,spinach pests","Spinach prefers cool weather and compost.",பரட்டை கீரை.,पालक ठंड में अच्छा।,పాలకూర చల్లటి వాతావరణం.,ചീര തണുത്ത കാലത്ത്.
"cabbage care,cabbage planting,cabbage pests",Cabbage grows in cool climates; control caterpillars.,கோசு.,पत्ता गोभी।,క్యాబేజీ.,മുട്ടക്കോസ്.
"lettuce care,lettuce planting,lettuce pests",Lettuce prefers cool shade and regular watering.,லெட்டுஸ்.,लेट्यूस।,లెట్టూస్.,ലറ്റിസ്.
"cucumber care,cucumber planting,cucumber pests",Cucumber likes warm weather and trellis support.,வெள்ளரி.,खीरा।,దోసకాయి.,വെള്ളരി.
"bottle gourd care,bottle gourd planting,bottle gourd pests",Bottle gourd needs support and regular watering.,சுரைக்காய்.,लौकी।,సొరకాయ.,ചുരക്ക.
"beetroot care,beetroot planting,beetroot pests",Beetroot prefers loose soil and moisture.,பீட்ரூட்.,चुकंदर।,బీట్‌రూట్.,ബീറ്റ്റൂട്ട്.
"guava care,guava pests,guava planting",Guava grows in wide soil types; prune regularly.,கோவா பராமரிப்பு.,अमरूद देखभाल।,జామ సంరక్షణ.,പെയർ പരിപാലനം.
"papaya care,papaya pests,papaya planting",Papaya needs drainage and wind protection.,பப்பாளி பராமரிப்பு.,पपीता देखभाल।,బొప్పాయి సంరక్షణ.,പപ്പായ പരിപാലനം.
"pomegranate care,pomegranate pests,pomegranate planting",Pomegranate needs light pruning.,மாதுளை.,अनार।,దానిమ్మ.,മാതളനാരങ്ങ.
"grapes care,grapes pests,grapes planting","Grapes need trellising and pruning.",திராட்சை.,अंगूर।,ద్రాక్ష.,മുന്തിരി.
"apple care,apple pests,apple planting",Apple needs temperate climate and thinning.,ஆப்பிள்.,सेब।,ఆపిల్.,ആപ്പിൾ.
"teak care,teak planting,teak pests",Teak needs spacing and weed control.,தீக்.,सागौन।,టీక్.,തേക്ക്.
"eucalyptus care,eucalyptus planting,eucalyptus pests",Eucalyptus grows fast; manage water.,யூகலிப்டஸ்.,यूकेलिप्टस।,నీలగిరి.,യൂക്കലിപ്റ്റസ്.
"neem care,neem planting,neem pests",Neem drought-tolerant; good for IPM.,நீம்.,नीम।,వేప.,വേപ്പ്.
"moringa care,moringa planting,moringa pests",Moringa grows fast; prune regularly.,முருங்கை.,सहजन।,మునగ.,മുരിങ്ങ.
"soil testing,soil testing benefits",Soil testing determines nutrient needs; follow recommendations.,மண் சோதனை.,मिट्टी परीक्षण।,మట్టి పరీక్ష.,മണ്ണ് പരിശോധന.
"compost,compost benefits","Compost improves soil structure.",கம்போஸ்ட்.,खाद।,కంపోస్ట్.,കമ്പോസ്റ്റ്.
"drip irrigation,drip irrigation benefits",Drip irrigation saves water.,டிரிப் பாசனம்.,ड्रिप सिंचाई।,డ్రిప్.,ഡ്രിപ്പ്.
"green manure,green manure benefits","Green manures add nitrogen.",பசுமை உரம்.,हरी खाद।,పచ్చి ఎరువు.,പച്ചവളം.
"pest scouting,pest scouting benefits",Regular scouting gives early detection.,பூச்சி கண்காணிப்பு.,कीट निरीक्षण।,పురుగు పరిశీలన.,കീട പരിശോധന.
"fertilizer for paddy",Apply basal fertilizer and split nitrogen.,நெல் உரம்.,धान उर्वरक।,బియ్యం ఎరువు.,അരി വളം.
"fertilizer for maize",Apply N in splits; P,K basal.,மக்காச்சோளம்.,मक्का।,మొక్కజొన్న.,ചോളം.
"post harvest storage,postharvest handling,storage of grains","Dry grains and store airtight.",அறுவடை பின்.,फसल बाद।,పంట తర్వాత నిల్వ.,പറുവത്തിനു ശേഷം സംഭരണം.
"certified seeds,seed selection,quality seeds","Use certified disease-free seeds.",சான்று விதைகள்.,प्रमाणित बीज।,ప్రమాణిత విత్తనాలు.,സർട്ടിഫൈഡ് വിത്തുകൾ.
"hello,hi,good morning,வணக்கம்,नमस्ते","Hello! 👋 I’m your AgriBot — ask me about crops, soil, pests, irrigation or fertilizers.","வணக்கம்! 👋 நான் உங்கள் அக்க்ரோபாட் — பயிர்கள் பற்றி கேளுங்கள்.","नमस्ते! 👋 मैं आपका AgriBot हूँ — खेती से जुड़े सवाल पूछें।","హలో! 👋 నేను మీ AgriBot — పంటలు, నేల, నీటిపారుదల గురించి అడగండి.","ഹലോ! 👋 ഞാൻ നിങ്ങളുടെ AgriBot — കൃഷി സംബന്ധമായ എന്തും ചോദിക്കുക."
