keywords,answer_en,answer_hi,answer_ta,answer_te,answer_ml
"paddy pest,brown planthopper","🌾 Brown planthopper sucks sap from rice plants; maintain water level and use resistant varieties.","🌾 भूरे प्लांटहॉपर धान का रस चूसते हैं; जलस्तर बनाए रखें और रोग-प्रतिरोधी किस्में लगाएँ।","🌾 பழுப்பு தாவர பூச்சி நெல் சாற்றை உறிஞ்சும்; நீர் நிலையை பராமரித்து எதிர்ப்பு வகைகள் பயிரிடவும்.","🌾 బ్రౌన్ ప్లాంట్‌హాపర్ వరి మొక్కల రసాన్ని శోషిస్తుంది; నీటి స్థాయి నిలబెట్టండి మరియు నిరోధక రకాలు వాడండి.","🌾 ബ്രൗൺ പ്ലാന്തോപ്പർ അരി ചെടികളുടെ രസം കുടിക്കും; ജലനില നിലനിർത്തി പ്രതിരോധ വർഗങ്ങൾ ഉപയോഗിക്കുക."
"tomato disease,early blight","🍅 Tomato blight causes leaf yellowing and black spots; spray mancozeb every 15 days.","🍅 टमाटर झुलसा में पत्तियाँ पीली होकर काली पड़ती हैं; हर 15 दिन में मैनकोजेब छिड़कें।","🍅 தக்காளி வாடை நோயால் இலைகள் மஞ்சள் நிறமாகி கருப்பு புள்ளிகள் தோன்றும்; 15 நாட்களுக்கு ஒருமுறை மேன்கோசேப் தெளிக்கவும்.","🍅 టమాటా బ్లైట్ వల్ల ఆకులు పసుపుగా మారి నల్ల మచ్చలు వస్తాయి; 15 రోజులకు ఒకసారి మాంకోజెబ్ స్ప్రే చేయండి.","🍅 തക്കാളിയിൽ ബ്ലൈറ്റ് വന്നാൽ ഇലകൾ മഞ്ഞയായി കറുത്ത പാടുകൾ കാണാം; 15 ദിവസത്തിലൊരിക്കൽ മാന്കോസെബ് തളിക്കുക."
"rice disease,leaf blight","🌾 Rice bacterial blight can be controlled by using resistant varieties and seed treatment with streptocycline.","🌾 धान की झुलसा से बचने के लिए रोग प्रतिरोधी किस्में और बीज उपचार करें।","🌾 நெல் இலை வாடை நோயைத் தவிர்க்க நோய் எதிர்ப்பு வகைகள் மற்றும் விதை சிகிச்சை செய்யவும்.","🌾 బియ్యం బ్యాక్టీరియల్ బ్లైట్‌ను నిరోధక రకాలు మరియు స్ట్రెప్టోసైక్లిన్‌తో విత్తన శుద్ధి ద్వారా నియంత్రించవచ్చు.","🌾 അരി ബാക്ടീരിയ ബ്ലൈറ്റ് ഒഴിവാക്കാൻ പ്രതിരോധ വർഗങ്ങളും സ്ട്രെപ്റ്റോസൈക്ലിൻ വിത്തുചികിത്സയും ചെയ്യുക."
"brinjal disease,wilt","🍆 Brinjal wilt is soil-borne; remove infected plants and drench soil with copper fungicide.","🍆 बैंगन में विल्ट रोग मिट्टी से फैलता है; संक्रमित पौधे हटाएँ और कॉपर फफूंदनाशक डालें।","🍆 கத்தரிக்காய் வாடை நோய் மண்ணில் இருந்து பரவும்; பாதிக்கப்பட்ட செடிகளை அகற்றி காப்பர் பூஞ்சைநாசினி ஊற்றவும்.","🍆 వంకాయ విల్ట్ నేల ద్వారా వ్యాపిస్తుంది; బాధిత మొక్కలు తీసివేసి కాపర్ ఫంగిసైడ్‌తో నేల తడపాలి.","🍆 വഴുതന വില്റ്റ് മണ്ണിൽ നിന്നാണ് പകരുന്നത്; രോഗബാധിത ചെടികൾ നീക്കി താമ്ര ഫംഗിസൈഡ് ഒഴിക്കണം."
"banana disease,leaf spot","🍌 Banana leaf spot is common; apply carbendazim around roots and improve drainage.","🍌 केले की पत्ती पर धब्बे पड़ना आम है; कार्बेन्डाजिम जड़ों के पास डालें और जल निकासी सुधारें।","🍌 வாழை இலை புள்ளி நோய் பொதுவாக உள்ளது; வேர் அருகில் கார்பென்டாஸிம் ஊற்றி நீர் வடிகால் மேம்படுத்தவும்.","🍌 అరటి ఆకులపై లీఫ్ స్పాట్ సాధారణం; వేర్ల చుట్టూ కార్బెండాజిమ్ వేయాలి మరియు డ్రైనేజ్ మెరుగు పరచాలి.","🍌 വാഴ ഇല പാടു രോഗം സാധാരണമാണ്; വേരിനു ചുറ്റും കാർബൻഡാസിം നൽകി വെള്ളം ഒഴുകുന്ന രീതിയിലാക്കണം."
"mango disease,anthracnose","🥭 Mango anthracnose damages flowers and fruits; spray copper oxychloride before flowering.","🥭 आम में एन्थ्राक्नोज़ फूल और फलों को नुकसान पहुँचाता है; फूल आने से पहले कॉपर ऑक्सी क्लोराइड छिड़कें।","🥭 மாம்பழ ஆன்த்ராக்னோஸ் மலர் மற்றும் பழங்களை பாதிக்கும்; மலர்வதற்கு முன் காப்பர் ஆக்ஸிகுளோரைடு தெளிக்கவும்.","🥭 మామిడి ఆంత్రాక్నోస్ పువ్వులు, పండ్లను దెబ్బతీస్తుంది; పుష్పించేముందు కాపర్ ఆక్సీక్లోరైడ్ స్ప్రే చేయండి.","🥭 മാമ്പഴ ആന്ത്രാക്ക്‌നോസ് പൂക്കും പഴങ്ങളും നശിപ്പിക്കും; പൂക്കുന്നതിന് മുമ്പ് താമ്ര ഓക്സിക്ലോറൈഡ് തളിക്കുക."
"chilli disease,leaf curl","🌶️ Chilli leaf curl causes twisted leaves; remove infected plants and spray imidacloprid.","🌶️ मिर्च पत्ती मुड़ने से पत्तियाँ सिकुड़ जाती हैं; संक्रमित पौधे हटाएँ और इमिडाक्लोप्रिड छिड़कें।","🌶️ மிளகாய் இலை சுருட்டல் நோயால் இலைகள் சுருங்கும்; பாதிக்கப்பட்ட செடிகளை அகற்றி இமிடாக்ளோப்ரிட் தெளிக்கவும்.","🌶️ మిరప ఆకుల కర్ల్ వల్ల ఆకులు ముడుచుకుంటాయి; దెబ్బతిన్న మొక్కలు తొలగించి ఇమిడాక్లోప్రిడ్ స్ప్రే చేయండి.","🌶️ മുളക് ഇല സുറുക്കൽ രോഗത്തിൽ ഇലകൾ വളയുകയും ചുരുങ്ങുകയും ചെയ്യും; രോഗബാധിത ചെടികൾ നീക്കി ഇമിഡാക്ലോപ്രിഡ് തളിക്കുക."
"coconut disease,bud rot","🥥 Coconut bud rot is severe; cut affected part and apply Bordeaux paste (1%).","🥥 नारियल में बड रॉट गंभीर होता है; संक्रमित भाग काटें और 1% बोर्डो पेस्ट लगाएँ।","🥥 தென்னை மொட்டு அழுகல் கடுமையாகும்; பாதிக்கப்பட்ட பகுதியை அகற்றி 1% போர்டோ விழுது பூசவும்.","🥥 కొబ్బరి బడ్ రాట్ తీవ్రమైనది; బాధిత భాగం తొలగించి 1% బోర్డో పేస్ట్ అప్లై చేయండి.","🥥 തേങ്ങാ മുളക്‌ റോട്ടു ഗുരുതരമാണ്; ബാധിത ഭാഗം നീക്കി 1% ബോർഡോ പേസ്റ്റ് പുരട്ടുക."
"papaya disease,powdery mildew","🍃 Papaya gets powdery mildew; spray 0.2% sulphur or neem oil regularly.","🍃 पपीते में पाउडरी मिल्ड्यू लगती है; 0.2% सल्फर या नीम तेल नियमित छिड़कें।","🍃 பப்பாளி பவுடரி மில்டியூ நோயால் பாதிக்கப்படும்; 0.2% கந்தகம் அல்லது வேப்பெண்ணெய் தெளிக்கவும்.","🍃 బొప్పాయి పొడిమచ్చ వ్యాధి వస్తుంది; 0.2% సల్ఫర్ లేదా నేమ్ ఆయిల్ క్రమం తప్పని స్ప్రే చేయండి.","🍃 പപ്പായയിൽ പൗഡറി മിൽഡ്യൂ ബാധിക്കും; 0.2% സൾഫർ അല്ലെങ്കിൽ വേപ്പെണ്ണ പതിവായി തളിക്കണം."
"organic pest control,neem,trichoderma","🌿 Use neem oil, cow urine, or trichoderma for organic pest and disease control — safe and eco-friendly!","🌿 नीम तेल, गौमूत्र या ट्राइकोडर्मा का उपयोग करें — यह जैविक और सुरक्षित तरीका है।","🌿 வேப்பெண்ணெய், கோமூத்திரம் அல்லது ட்ரைக்கோடெர்மா பயன்படுத்தி இயற்கை நோய் மற்றும் பூச்சி கட்டுப்பாடு செய்யலாம்.","🌿 సేంద్రియ కీటక నియంత్రణ కోసం నేమ్ ఆయిల్, పశువుల మూత్రం లేదా ట్రైకోడెర్మా ఉపయోగించండి — ఇది సురక్షితం మరియు పర్యావరణ హితమైనది.","🌿 ജൈവ കീടനിയന്ത്രണത്തിന് വേപ്പെണ്ണ, പശുവിൻ മൂത്രം അല്ലെങ്കിൽ ട്രൈക്കോഡർമ ഉപയോഗിക്കുക — സുരക്ഷിതവും പരിസ്ഥിതി സൗഹൃദവുമാണ്."
"tree care,watering,fertilizer","🌴 Trees need deep watering once a week and organic compost around roots.","🌴 पेड़ों को सप्ताह में एक बार गहराई से सिंचाई और जड़ों के पास जैविक खाद चाहिए।","🌴 மரங்களுக்கு வாரத்திற்கு ஒருமுறை ஆழமான நீர்ப்பாய்ச்சி மற்றும் வேர் அருகில் இயற்கை உரம் தேவை.","🌴 చెట్లకు వారానికి ఒకసారి లోతైన నీరుపారుదల మరియు వేర్ల చుట్టూ సేంద్రీయ ఎరువు అవసరం.","🌴 മരങ്ങൾക്ക് ആഴത്തിലുള്ള ജലസേചനം ആഴ്ചയിൽ ഒരിക്കൽ വേണ്ടതും വേരിന് സമീപം ജൈവ വളം ചേർക്കേണ്ടതുമാണ്."
"soil health,compost","🌱 Improve soil by adding vermicompost and rotating crops every season.","🌱 मिट्टी सुधारने के लिए वर्मी कम्पोस्ट मिलाएँ और हर सीजन फसल बदलें।","🌱 மண்ணை மேம்படுத்த புழு உரம் சேர்த்து ஒவ்வொரு பருவத்திலும் பயிர் மாற்றம் செய்யவும்.","🌱 నేలను మెరుగుపరచడానికి వెర్మికంపోస్టు వేసి ప్రతి సీజన్‌లో పంటల మార్పు చేయండి.","🌱 മണ്ണ് മെച്ചപ്പെടുത്താൻ വെർമി കംപോസ്റ്റ് ചേർക്കുകയും ഓരോ സീസണിലും വിള പരിവർത്തനം നടത്തുകയും ചെയ്യുക."
"irrigation,drip system","💧 Drip irrigation saves water and increases yield for vegetables and fruits.","💧 ड्रिप सिंचाई से पानी बचता है और फलों व सब्जियों की पैदावार बढ़ती है।","💧 சொட்டு பாசனம் நீரை சேமித்து காய்கறி மற்றும் பழ விளைச்சலை அதிகரிக்கும்.","💧 డ్రిప్ ఇరిగేషన్ నీటిని ఆదా చేస్తుంది మరియు కూరగాయలు, పండ్ల దిగుబడిని పెంచుతుంది.","💧 ഡ്രിപ്പ് ഇരിഗേഷൻ വെള്ളം ലാഭിക്കുകയും പച്ചക്കറികളും പഴങ്ങളും കൂടുതൽ വിളവ് നൽകാനും സഹായിക്കുന്നു."
"climate change,farming","🌤️ Use drought-tolerant varieties and mulch soil to conserve moisture.","🌤️ सूखा-रोधी किस्में लगाएँ और मिट्टी पर मल्चिंग करें ताकि नमी बनी रहे।","🌤️ வறட்சியைத் தாங்கும் வகைகள் பயிரிட்டு மண்ணை மூல்சிங் செய்து ஈரத்தைப் பாதுகாக்கவும்.","🌤️ ఎండను తట్టుకునే రకాలను వాడండి మరియు నేలపై మల్చింగ్ చేయండి.","🌤️ വരൾച്ച പ്രതിരോധ വർഗങ്ങൾ ഉപയോഗിച്ച് മണ്ണിൽ മൾച്ചിംഗ് ചെയ്ത് ഈർപ്പം നിലനിർത്തുക."
"farm safety,equipment use","🧤 Always wear gloves and mask while spraying chemicals on crops.","🧤 फसलों पर रसायन छिड़कते समय हमेशा दस्ताने और मास्क पहनें।","🧤 பயிர்களில் இரசாயனங்கள் தெளிக்கும்போது கையுறைகள் மற்றும் முகக்கவசம் அணியவும்.","🧤 పంటలపై రసాయనాలు స్ప్రే చేస్తున్నప్పుడు ఎల్లప్పూడూ గ్లౌవ్స్ మరియు మాస్క్ ధరించండి.","🧤 വിളകളിൽ രാസവസ്തുക്കൾ തളിക്കുമ്പോൾ കൈയ്യുറകളും മാസ്‌ക്കും ധരിക്കണം."
