keywords,answer_en,answer_hi,answer_ta,answer_te,answer_ml
"apple,apple benefits,vitamin c","🍎 Apple is rich in fiber and Vitamin C.","🍎 सेब फाइबर और विटामिन C से भरपूर।","🍎 ஆப்பிள் நார்ச்சத்து நிறைந்தது.","🍎 యాపిల్‌లో ఫైబర్, విటమిన్ C ఎక్కువగా ఉంటుంది.","🍎 ആപ്പിളിൽ ഫൈബറും വിറ്റാമിന് C ഉം ധാരാളമുണ്ട്."
"grapes,vitamin,fruit","🍇 Grapes are rich in antioxidants.","🍇 अंगूर एंटीऑक्सिडेंट से भरपूर।","🍇 திராட்சை ஆன்டிஆக்ஸிடன்ட் நிறைந்தவை.","🍇 ద్రాక్షలో యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉంటాయి.","🍇 മുന്തിരിയിൽ ആന്റിഒക്സിഡന്റുകൾ ധാരാളമുണ്ട്."
"orange,vitamin c,citrus fruit","🍊 Orange is rich in Vitamin C.","🍊 संतरा विटामिन C से भरपूर।","🍊 ஆரஞ்சு வைட்டமின் C நிறைந்தது.","🍊 నారింజలో విటమిన్ C ఎక్కువగా ఉంటుంది.","🍊 ഓറഞ്ചിൽ വിറ്റാമിന് C ധാരാളമുണ്ട്."
"pomegranate,anaar,fruit","🍎 Pomegranate is rich in iron.","🍎 अनार लोहे से भरपूर।","🍎 மாதுளை இரும்பு நிறைந்தது.","🍎 దానిమ్మలో ఇనుము ఎక్కువగా ఉంటుంది.","🍎 മാത്തളനാരങ്ങയിൽ ഇരുമ്പ് ധാരാളമുണ്ട്."
"watermelon,summer fruit,hydration","🍉 Watermelon keeps you hydrated.","🍉 तरबूज हाइड्रेटेड रखता है।","🍉 தர்பூசணி உடலை ஈரப்பதமாக வைத்திருக்கும்.","🍉 పుచ్చకాయ వేసవిలో శరీరాన్ని హైడ్రేట్ చేస్తుంది.","🍉 തണ്ണിമത്തൻ ശരീരം ഹൈഡ്രേറ്റഡ് നിലയിൽ വയ്ക്കുന്നു."
"papaya,digestion,vitamin c","🥭 Papaya helps digestion.","🥭 पपीता पाचन में मदद करता है।","🥭 பப்பாளி செரிமானத்திற்கு உதவுகிறது.","🥭 బొప్పాయి జీర్ణక్రియకు మంచిది.","🥭 കപ്പലങ്ങ സെറിമാനത്തിന് നല്ലതാണ്."
"pumpkin,vegetable,vitamin a","🎃 Pumpkin is rich in Vitamin A.","🎃 कद्दू विटामिन A से भरपूर।","🎃 பரங்கிக்காய் வைட்டமின் A நிறைந்தது.","🎃 గుమ్మడికాయలో విటమిన్ A ఎక్కువగా ఉంటుంది.","🎃 മത്തങ്ങയിൽ വിറ്റാമിന് A ധാരാളമുണ്ട്."
"beans,protein,legume","🫘 Beans provide plant protein.","🫘 फलियाँ प्रोटीन का स्रोत।","🫘 பீன்ஸ் புரதம் நிறைந்தவை.","🫘 బీన్స్‌లో ప్రోటీన్ సమృద్ధిగా ఉంటుంది.","🫘 പയർ വർഗങ്ങൾ സസ്യപ്രോട്ടീൻ സമൃദ്ധമാണ്."
"chilli,spice,vegetable","🌶️ Chilli adds spice to food.","🌶️ मिर्च मसालेदार बनाती है।","🌶️ மிளகாய் உணவுக்கு காரம் தரும்.","🌶️ మిరపకాయ ఆహారానికి కారాన్ని ఇస్తుంది.","🌶️ മുളക് ഭക്ഷണത്തിന് കാരം നൽകുന്നു."
"cauliflower,broccoli,cruciferous","🥦 Cauliflower and broccoli are rich in fiber.","🥦 फूलगोभी और ब्रोकोली फाइबर से भरपूर।","🥦 காலிஃபிளவர் நார்ச்சத்து நிறைந்தது.","🥦 కాలీఫ్లవర్, బ్రోకోలీ రెండూ ఫైబర్ ఎక్కువగా కలిగి ఉంటాయి.","🥦 കോളിഫ്ലവർ, ബ്രോക്കോളി ഫൈബർ ധാരാളമാണ്."
